Specification,Year,RoundNumber,EventName,Horizon,TwoStage,RecencyHalfLife,PositionVariant,TrainingWindows,ValidationWindows,Features,NoChangePercent,MAE,RMSE,Baseline MAE,Baseline improvement %,Change accuracy,Change Brier score,Change ROC AUC,TrainingSeconds
position_none,2022,2,Saudi Arabian Grand Prix,5,True,40,none,15497,143,197,52.44755244755245,0.9687776656947218,1.55887116468588,0.9020979020979021,-7.391632708794743,0.6783216783216783,0.20091945244916903,0.7741176470588235,97.08049269998446
position_none,2022,22,Abu Dhabi Grand Prix,5,True,40,none,19221,194,197,40.72164948453608,1.0513630197994868,1.6516949639496776,1.2835051546391754,18.08657596742955,0.6701030927835051,0.2147519793171846,0.7930654925701706,111.52135599998292
position_none,2023,20,São Paulo Grand Prix,5,True,40,none,23162,200,197,53.0,0.8076160392420223,1.2841446521771467,0.91,11.250984698678872,0.73,0.17805147798933657,0.8118225612203935,117.36762299994007
position_none,2024,18,Singapore Grand Prix,5,True,40,none,27101,210,197,55.23809523809524,0.9615438218789799,1.6157998509396645,0.9714285714285714,1.0175477477520671,0.6857142857142857,0.19525995803331028,0.7762289068231842,97.7585465000011
position_none,2025,14,Hungarian Grand Prix,5,True,40,none,30894,245,197,49.38775510204081,1.2428505885814203,1.7820881335376602,1.1346938775510205,-9.531796475700704,0.6571428571428571,0.21964604750083586,0.7258064516129032,121.20170610002242
position_none,2026,11,Hungarian Grand Prix,5,True,40,none,35092,254,197,40.94488188976378,0.8787463753612998,1.2699265559531587,1.0236220472440944,14.15323871470378,0.6771653543307087,0.2009363492601744,0.7623076923076922,116.10045380005613
horizon_1,2019,21,Abu Dhabi Grand Prix,1,True,40,full,8356,198,206,82.82828282828282,0.2472955566299297,0.46099151241488595,0.24242424242424243,-2.009417109845995,0.8383838383838383,0.1201558423045238,0.797883787661406,65.40764290001243
horizon_1,2021,3,Portuguese Grand Prix,1,True,40,full,12420,239,206,86.19246861924687,0.17168944698976313,0.39666111845647134,0.18410041841004185,6.741414021469577,0.895397489539749,0.08775455274462753,0.8359811709326272,96.67603209998924
horizon_1,2022,2,Saudi Arabian Grand Prix,1,True,40,full,16724,148,206,77.02702702702703,0.3829183538189693,0.8873600436908915,0.43243243243243246,11.450130679363347,0.8175675675675675,0.14476788513551578,0.7567079463364293,150.0190350000048
horizon_1,2022,22,Abu Dhabi Grand Prix,1,True,40,full,20751,212,206,71.69811320754717,0.3300932834155924,0.6596317951711664,0.4716981132075472,30.02022391589441,0.8254716981132075,0.1368965005325971,0.8621710526315789,88.21143809997011
horizon_1,2023,20,São Paulo Grand Prix,1,True,40,full,25005,213,206,84.97652582159625,0.23890565031309297,0.5054098990419784,0.19718309859154928,-21.159294087354297,0.8779342723004695,0.09268062850190412,0.8292472375690608,104.92782320000697
horizon_1,2024,18,Singapore Grand Prix,1,True,40,full,29245,229,206,86.02620087336244,0.22797893153918625,0.4765464726220257,0.18340611353711792,-24.302798386842017,0.8995633187772926,0.07993165365242222,0.8842005076142132,129.30319450004026
horizon_1,2025,14,Hungarian Grand Prix,1,True,40,full,33340,256,206,75.78125,0.30617673173783033,0.5609488039222489,0.3515625,12.90972963901715,0.8125,0.12570419275965292,0.837545726637845,104.58087599999271
horizon_1,2026,11,Hungarian Grand Prix,1,True,40,full,37885,268,206,76.11940298507463,0.28715405248454395,0.4754503192659855,0.29850746268656714,3.803392417677767,0.8097014925373134,0.14007884585140537,0.758578431372549,109.70329529989976
horizon_3,2019,21,Abu Dhabi Grand Prix,3,True,40,full,8000,198,206,59.09090909090909,0.7363461277252652,1.2792311386595308,0.7474747474747475,1.4888288583766882,0.6919191919191919,0.2030559982809852,0.7634272449087263,82.74895919999108
horizon_3,2021,3,Portuguese Grand Prix,3,True,40,full,11921,228,206,66.66666666666666,0.7257339105389928,1.382303549704232,0.7017543859649122,-3.4170822518064843,0.6885964912280702,0.1998950234851765,0.7379674515235457,102.17198390001431
horizon_3,2022,2,Saudi Arabian Grand Prix,3,True,40,full,16049,145,206,62.06896551724138,0.7668018423239479,1.2487135483673495,0.7310344827586207,-4.892704846200415,0.6620689655172414,0.230173627085041,0.7145454545454545,90.37359580001794
horizon_3,2022,22,Abu Dhabi Grand Prix,3,True,40,full,19923,205,206,59.02439024390244,0.5609927829601417,0.952505180311782,0.6780487804878049,17.26365431163379,0.7463414634146341,0.16349650852451716,0.8437622983077527,129.35846729995683
horizon_3,2023,20,São Paulo Grand Prix,3,True,40,full,23946,202,206,59.900990099009896,0.7364022511118442,1.2090523845550887,0.7425742574257426,0.8311635169383124,0.7574257425742574,0.1796172448194197,0.8036935006631977,109.61499209993053
horizon_3,2024,18,Singapore Grand Prix,3,True,40,full,27997,210,206,63.8095238095238,0.6224636526671855,1.155970611407217,0.5714285714285714,-8.93113921675747,0.7333333333333333,0.17757676956467844,0.7939905734485467,97.40856620005798
horizon_3,2025,14,Hungarian Grand Prix,3,True,40,full,31911,256,206,60.15625,0.879243209162085,1.4640338775398611,0.796875,-10.33640271837929,0.73046875,0.174849113585576,0.8085052202699261,97.8118818999501
horizon_3,2026,11,Hungarian Grand Prix,3,True,40,full,36236,268,206,58.2089552238806,0.6334841289277205,1.1114540256447187,0.7089552238805971,10.645396551247845,0.7761194029850746,0.16541141253159716,0.8276671245421245,104.36139559990261
horizon_10,2019,21,Abu Dhabi Grand Prix,10,True,40,full,6947,165,206,34.54545454545455,1.303177008227192,1.9130116626531781,1.606060606060606,18.858790053778602,0.7575757575757576,0.155592025349025,0.8333333333333334,66.19626200001221
horizon_10,2021,3,Portuguese Grand Prix,10,True,40,full,10340,206,206,41.262135922330096,1.3464074653118363,1.9060653797548814,1.3883495145631068,3.0210007502663396,0.6796116504854369,0.2354820597464032,0.6757413709285367,110.86378479993436
horizon_10,2022,2,Saudi Arabian Grand Prix,10,True,40,full,13980,125,206,29.599999999999998,1.3647083573006689,1.8336344158828104,1.608,15.130077282296718,0.824,0.14982392470671557,0.808046683046683,107.21483409998473
horizon_10,2022,22,Abu Dhabi Grand Prix,10,True,40,full,17324,174,206,21.839080459770116,1.5537671057746663,2.143474650352674,1.9367816091954022,19.77582302528429,0.7988505747126436,0.14961848696386645,0.7517414860681114,95.31774570001289
horizon_10,2023,20,São Paulo Grand Prix,10,True,40,full,20881,183,206,38.79781420765027,1.0291727652826534,1.472187154025504,1.289617486338798,20.195501675116287,0.7704918032786885,0.1590494845569383,0.8311116700201208,107.07008710002992
horizon_10,2024,18,Singapore Grand Prix,10,True,40,full,24437,190,206,33.1578947368421,1.393554918875391,2.059153606473319,1.6789473684210525,16.99829636792341,0.7894736842105263,0.16053742240799346,0.7771528558930134,193.86955840000883
horizon_10,2025,14,Hungarian Grand Prix,10,True,40,full,27854,225,206,26.666666666666668,1.666232998451856,2.2515724460236037,1.8933333333333333,11.994735997261126,0.76,0.1583689554530364,0.751010101010101,122.91204700001981
horizon_10,2026,11,Hungarian Grand Prix,10,True,40,full,31638,232,206,21.982758620689655,1.1838433573712621,1.5285316206439494,1.603448275862069,26.168908895125586,0.728448275862069,0.17353097098060735,0.7037157404398224,114.44661789992824
