Year,RoundNumber,EventName,TrainingRaces,TrainingWindows,ValidationWindows,FeaturesUsed,MAE,RMSE,Baseline MAE,Baseline improvement %,TrainingSeconds
2021,13,Dutch Grand Prix,69,13357,247,148,0.716610334786799,1.0595810865193738,0.611336032388664,-17.220366021416798,17.578612699988298
2021,14,Italian Grand Prix,70,13604,150,148,0.9028209084268044,1.3152278232523331,0.68,-32.76778065100064,18.537814800045453
2021,15,Russian Grand Prix,71,13754,175,148,1.5125899515293473,2.3747445427177585,1.7085714285714286,11.470487786743892,16.17293470003642
2021,16,Turkish Grand Prix,72,13929,200,148,0.7656824716913516,1.0800920806349585,0.48,-59.51718160236492,18.911746899946593
2021,17,United States Grand Prix,73,14129,184,148,0.84986591838938,1.3053878948115103,0.9347826086956522,9.084111056019822,17.43412079999689
2021,18,Mexico City Grand Prix,74,14313,229,148,0.5980601413446563,0.8616991502086219,0.48034934497816595,-24.505247607205728,17.691261200001463
2021,19,São Paulo Grand Prix,75,14542,248,148,0.8524969439286804,1.3913840900533472,0.8911290322580645,4.335184572709171,17.196353400009684
2021,20,Qatar Grand Prix,76,14790,197,148,1.4573351732608513,2.275263333230661,1.7106598984771573,14.808596696620855,17.868360599968582
2021,21,Saudi Arabian Grand Prix,77,14987,142,148,1.0512787492994895,1.6274890526905088,0.971830985915493,-8.175059710527176,17.633238999987952
2021,22,Abu Dhabi Grand Prix,78,15129,172,148,1.1423483732444222,1.657641423789707,1.127906976744186,-1.280371236103409,17.138558099977672
2022,1,Bahrain Grand Prix,79,15301,196,148,1.2340665543282876,1.7876354810571065,1.5255102040816326,19.104667341690845,17.27485849999357
2022,2,Saudi Arabian Grand Prix,80,15497,143,148,1.0061783402093734,1.4710065255000444,0.9020979020979021,-11.537598953442165,17.173426100052893
2022,3,Australian Grand Prix,81,15640,179,148,1.1542045196955293,1.7190194973890751,1.1620111731843576,0.6718225838943639,17.017547099967487
2022,4,Emilia Romagna Grand Prix,82,15819,198,148,0.6478717284098028,0.9875072006447568,0.29292929292929293,-121.17000383644992,18.63427679997403
2022,5,Miami Grand Prix,83,16017,183,148,1.1110623793573933,1.745350666751402,1.1420765027322404,2.7155907069842202,19.215671200072393
2022,6,Spanish Grand Prix,84,16200,221,148,0.8945611348279389,1.3031646992402872,0.8642533936651584,-3.506811935588733,19.686572500038892
2022,7,Monaco Grand Prix,85,16421,201,148,0.7364118828157568,1.154442495206117,0.5074626865671642,-45.11645926075206,18.801132599939592
2022,8,Azerbaijan Grand Prix,86,16622,154,148,1.0994026855332448,1.6590371212970714,1.0974025974025974,-0.18225655155012252,16.662252599955536
2022,9,Canadian Grand Prix,87,16776,231,148,0.936899975447411,1.5050630520601906,0.7792207792207793,-20.235496849084406,18.01863940001931
2022,10,British Grand Prix,88,17007,139,148,1.3415824433693357,1.9588214004450213,1.381294964028777,2.8750210269074694,18.558170100091957
2022,11,Austrian Grand Prix,89,17146,242,148,1.4725095222745452,2.3383240238436866,1.5909090909090908,7.442258599885724,18.108549700002186
2022,12,French Grand Prix,90,17388,160,148,0.839285344353154,1.2227952053435769,0.63125,-32.956094154955096,18.540160099975765
