Configuration,Year,RoundNumber,EventName,Windows,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,MAE,RMSE,Baseline MAE,Baseline improvement %,TrainingSeconds
fast_boosting,2023,10,British Grand Prix,166,0.15,100,31,,30,1.0,1.1472072855162745,1.637002218986582,0.9518072289156626,-20.52937303525416,23.11712529999204
fast_boosting,2023,22,Abu Dhabi Grand Prix,200,0.15,100,31,,30,1.0,1.6661605468670169,2.529124899004518,2.15,22.504160610836422,21.045761900022626
fast_boosting,2024,12,British Grand Prix,167,0.15,100,31,,30,1.0,0.7509830966635213,1.1524834833332505,0.5449101796407185,-37.81777708000885,21.146201299969107
fast_boosting,2024,24,Abu Dhabi Grand Prix,179,0.15,100,31,,30,1.0,1.2374804070895937,1.8515547575647198,1.2737430167597765,2.846932952176632,21.15195590001531
high_capacity,2019,21,Abu Dhabi Grand Prix,185,0.05,225,63,,30,2.0,1.089135208594414,1.713476423797483,1.0702702702702702,-1.7626331262457506,25.243015700019896
high_capacity,2020,11,Eifel Grand Prix,181,0.05,225,63,,30,2.0,1.2105837107688093,1.9272138706552433,1.425414364640884,15.071452849164922,22.83903030003421
high_capacity,2021,6,Azerbaijan Grand Prix,164,0.05,225,63,,30,2.0,1.3798912652679085,2.217059093601758,1.2804878048780488,-7.7629369066366625,17.952228600042872
high_capacity,2021,19,São Paulo Grand Prix,248,0.05,225,63,,30,2.0,0.8373203018558812,1.3689707324962774,0.8911290322580645,6.038264769113778,27.955085999914445
high_capacity,2022,9,Canadian Grand Prix,231,0.05,225,63,,30,2.0,0.9800269734058921,1.5830567631267196,0.7792207792207793,-25.77012825375614,22.621294800075702
high_capacity,2022,20,Mexico City Grand Prix,253,0.05,225,63,,30,2.0,0.8364036636949996,1.2749222910315927,0.8063241106719368,-3.73045437001711,22.305414400063455
high_capacity,2023,10,British Grand Prix,166,0.05,225,63,,30,2.0,1.1585802401768805,1.609731896802216,0.9518072289156626,-21.724253081874796,23.3458312000148
high_capacity,2023,22,Abu Dhabi Grand Prix,200,0.05,225,63,,30,2.0,1.6455320794986596,2.495545634588571,2.15,23.463624209364667,23.10341800004244
high_capacity,2024,12,British Grand Prix,167,0.05,225,63,,30,2.0,0.79452550730818,1.1635989091618033,0.5449101796407185,-45.80852716534732,23.082438500015996
high_capacity,2024,24,Abu Dhabi Grand Prix,179,0.05,225,63,,30,2.0,1.2284519624146875,1.8375191099477501,1.2737430167597765,3.5557450560398873,24.663778699934483
