Year,RoundNumber,EventName,FeatureGroup,FeaturesDropped,FullModelMAE,AblatedMAE,MAEIncreaseWhenDropped,TrainingSeconds
2022,2,Saudi Arabian Grand Prix,driver_and_team_history,15,1.0061783402093734,0.9622306453463724,-0.043947694863000986,10.290005999966525
2022,2,Saudi Arabian Grand Prix,qualifying_and_grid,5,1.0061783402093734,0.9631758198405492,-0.043002520368824126,10.46902609989047
2022,2,Saudi Arabian Grand Prix,tyres_and_pits,15,1.0061783402093734,0.9368896462343836,-0.06928869397498971,10.492735199979506
2022,2,Saudi Arabian Grand Prix,weather,18,1.0061783402093734,0.9694171297051418,-0.036761210504231534,9.677808800013736
2022,2,Saudi Arabian Grand Prix,race_control,3,1.0061783402093734,0.9876273732971951,-0.01855096691217828,10.64048029994592
2022,2,Saudi Arabian Grand Prix,drs,5,1.0061783402093734,0.9847344043096318,-0.021443935899741584,10.003823000006378
2022,2,Saudi Arabian Grand Prix,identity_and_circuit,6,1.0061783402093734,0.9877510008235408,-0.01842733938583252,10.546452099923044
2022,22,Abu Dhabi Grand Prix,position_state,9,1.062832384790192,1.1228849048333318,0.06005252004313988,10.905379100004211
2022,22,Abu Dhabi Grand Prix,lap_and_sector_timing,32,1.062832384790192,1.0618221841153064,-0.001010200674885553,7.211813900037669
2022,22,Abu Dhabi Grand Prix,gaps_and_relative_pace,37,1.062832384790192,1.1051978733603083,0.04236548857011635,6.670745300012641
2022,22,Abu Dhabi Grand Prix,driver_and_team_history,15,1.062832384790192,1.0753134700045999,0.012481085214407939,10.542296800063923
2022,22,Abu Dhabi Grand Prix,qualifying_and_grid,5,1.062832384790192,1.0821357652685584,0.01930338047836644,10.75738929992076
2022,22,Abu Dhabi Grand Prix,tyres_and_pits,15,1.062832384790192,1.1206766678784277,0.05784428308823575,10.899729300057516
2022,22,Abu Dhabi Grand Prix,weather,18,1.062832384790192,1.0834106681014133,0.020578283311221357,10.09238089993596
2022,22,Abu Dhabi Grand Prix,race_control,3,1.062832384790192,1.0739193573732997,0.011086972583107757,10.649183599976823
2022,22,Abu Dhabi Grand Prix,drs,5,1.062832384790192,1.0768418713316918,0.014009486541499916,9.69936680002138
2022,22,Abu Dhabi Grand Prix,identity_and_circuit,6,1.062832384790192,1.0507485540792727,-0.01208383071091923,10.501283499994315
2023,20,São Paulo Grand Prix,position_state,9,0.8534322618661107,0.868327784589258,0.014895522723147314,11.071194800082594
2023,20,São Paulo Grand Prix,lap_and_sector_timing,32,0.8534322618661107,0.8614870986256926,0.008054836759581963,7.418389099999331
2023,20,São Paulo Grand Prix,gaps_and_relative_pace,37,0.8534322618661107,0.9767930616542171,0.12336079978810643,7.2424621999962255
2023,20,São Paulo Grand Prix,driver_and_team_history,15,0.8534322618661107,0.8788224697944503,0.02539020792833968,10.674693600041792
2023,20,São Paulo Grand Prix,qualifying_and_grid,5,0.8534322618661107,0.8662230925729548,0.01279083070684417,11.189691199921072
2023,20,São Paulo Grand Prix,tyres_and_pits,15,0.8534322618661107,0.9208162543358978,0.0673839924697871,10.974190199980512
2023,20,São Paulo Grand Prix,weather,18,0.8534322618661107,0.8638692550341069,0.010436993167996289,10.411073000053875
2023,20,São Paulo Grand Prix,race_control,3,0.8534322618661107,0.8643651470398049,0.010932885173694284,11.325337800080888
2023,20,São Paulo Grand Prix,drs,5,0.8534322618661107,0.8608910760702118,0.007458814204101105,10.835648000007495
2023,20,São Paulo Grand Prix,identity_and_circuit,6,0.8534322618661107,0.8522837762020142,-0.0011484856640964214,11.122407000046223
2024,18,Singapore Grand Prix,position_state,9,1.023903555042398,0.9886999017302788,-0.035203653312119276,11.706531999981962
2024,18,Singapore Grand Prix,lap_and_sector_timing,32,1.023903555042398,0.9968643188047275,-0.027039236237670572,7.78223050001543
2024,18,Singapore Grand Prix,gaps_and_relative_pace,37,1.023903555042398,1.049737627936678,0.025834072894279858,7.277789199957624
2024,18,Singapore Grand Prix,driver_and_team_history,15,1.023903555042398,1.0080409345426424,-0.01586262049975562,10.987907300004736
2024,18,Singapore Grand Prix,qualifying_and_grid,5,1.023903555042398,1.0177498326034595,-0.006153722438938525,11.544714099960402
2024,18,Singapore Grand Prix,tyres_and_pits,15,1.023903555042398,1.034483783381723,0.010580228339325037,11.677904999931343
2024,18,Singapore Grand Prix,weather,18,1.023903555042398,1.0323324882252671,0.00842893318286908,10.531401599990204
2024,18,Singapore Grand Prix,race_control,3,1.023903555042398,1.0183630422067016,-0.005540512835696454,11.295174000086263
2024,18,Singapore Grand Prix,drs,5,1.023903555042398,1.0097041371996602,-0.014199417842737816,11.071391399949789
2024,18,Singapore Grand Prix,identity_and_circuit,6,1.023903555042398,1.0628270847995014,0.03892352975710334,11.66361410007812
2025,14,Hungarian Grand Prix,position_state,9,1.1274966565464355,1.1421152637193401,0.01461860717290464,12.535628699930385
2025,14,Hungarian Grand Prix,lap_and_sector_timing,32,1.1274966565464355,1.1415901236898114,0.014093467143375893,8.074757499969564
2025,14,Hungarian Grand Prix,gaps_and_relative_pace,37,1.1274966565464355,1.1501489992274772,0.02265234268104166,7.929875300033018
2025,14,Hungarian Grand Prix,driver_and_team_history,15,1.1274966565464355,1.1480651701725626,0.020568513626127105,12.074161999975331
2025,14,Hungarian Grand Prix,qualifying_and_grid,5,1.1274966565464355,1.155220778539483,0.027724121993047524,11.839438700000755
2025,14,Hungarian Grand Prix,tyres_and_pits,15,1.1274966565464355,1.132306103333254,0.004809446786818494,12.5138208999997
2025,14,Hungarian Grand Prix,weather,18,1.1274966565464355,1.1545771510795253,0.027080494533089805,11.867539800005034
2025,14,Hungarian Grand Prix,race_control,3,1.1274966565464355,1.165072784102065,0.037576127555629446,12.10691620002035
2025,14,Hungarian Grand Prix,drs,5,1.1274966565464355,1.1376356103287673,0.010138953782331761,12.217272800044157
2025,14,Hungarian Grand Prix,identity_and_circuit,6,1.1274966565464355,1.0984302523758722,-0.029066404170563276,12.063386599998921
2026,11,Hungarian Grand Prix,position_state,9,0.8934643486951165,0.9218395944023114,0.028375245707194963,12.637619500048459
2026,11,Hungarian Grand Prix,lap_and_sector_timing,32,0.8934643486951165,0.8952460346486142,0.0017816859534977025,8.626843900070526
2026,11,Hungarian Grand Prix,gaps_and_relative_pace,37,0.8934643486951165,0.9806040951913898,0.08713974649627332,8.052157500060275
2026,11,Hungarian Grand Prix,driver_and_team_history,15,0.8934643486951165,0.8963948553459781,0.0029305066508615862,12.591004699934274
2026,11,Hungarian Grand Prix,qualifying_and_grid,5,0.8934643486951165,0.8861801875278057,-0.0072841611673107876,12.519440300064161
2026,11,Hungarian Grand Prix,tyres_and_pits,15,0.8934643486951165,0.9210413815484936,0.027577032853377093,12.485087299952284
2026,11,Hungarian Grand Prix,weather,18,0.8934643486951165,0.9092967358896976,0.015832387194581132,11.896984399994835
2026,11,Hungarian Grand Prix,race_control,3,0.8934643486951165,0.8917055624059707,-0.0017587862891458306,13.289441799977794
2026,11,Hungarian Grand Prix,drs,5,0.8934643486951165,0.8944480784713991,0.0009837297762825825,12.383667299989611
2026,11,Hungarian Grand Prix,identity_and_circuit,6,0.8934643486951165,0.8923717442514422,-0.0010926044436743165,13.12378769996576
